sample,baseline_robust_snr_db,candidate_robust_snr_db,baseline_high_freq_energy,candidate_high_freq_energy,baseline_residual_rms,candidate_residual_rms,baseline_curvature_penalty,candidate_curvature_penalty,baseline_change_fraction,candidate_change_fraction,delta_robust_snr_db,delta_high_freq_energy,delta_residual_rms,delta_curvature_penalty,delta_change_fraction
treatment_1/replicate_A/12Oclock/normalized.csv,60.0,52.01119881586136,0.0014838323241151282,0.0014266778387692714,1.493045429399894e-16,0.0006898346577273915,0.0028562496841767785,0.0018673682911262918,4.896722777606387e-16,0.0016920843600549166,-7.988801184138637,-5.7154485345856836e-05,0.0006898346577272422,-0.0009888813930504867,0.001692084360054427
treatment_1/replicate_A/6Oclock/normalized.csv,60.0,47.62307942788661,0.002024704996521655,0.0018449157636691782,1.1064643409744425e-16,0.0007321145199587542,0.0031875578117642463,0.0021175137506464336,7.405983232217081e-16,0.0028043226500225438,-12.376920572113391,-0.00017978923285247696,0.0007321145199586435,-0.0010700440611178127,0.002804322650021803
treatment_1/replicate_B/12Oclock/normalized.csv,60.0,54.27179259771734,0.0016556515314786323,0.00158772419253303,1.6147126715126422e-16,0.0006933722769937021,0.0027984113142195733,0.0018295932748052103,4.0749233343841194e-16,0.0013043445338728683,-5.7282074022826635,-6.792733894560223e-05,0.0006933722769935407,-0.000968818039414363,0.0013043445338724608
treatment_1/replicate_B/6Oclock/normalized.csv,60.0,53.96715662593036,0.0017453993849516005,0.0016893015131594124,1.6424763428785664e-16,0.0006610916445997713,0.002709306381507921,0.0017684621739951355,4.0605740817110124e-16,0.0013509028599795953,-6.0328433740696426,-5.60978717921881e-05,0.000661091644599607,-0.0009408442075127855,0.0013509028599791892
treatment_1/replicate_C/12Oclock/normalized.csv,60.0,52.0329170199675,0.002142896156844325,0.0020341137800049896,1.3360508678183497e-16,0.000696410740575012,0.0029632892188427864,0.0019576046768959047,4.885625685634423e-16,0.001687858756289007,-7.967082980032501,-0.00010878237683933532,0.0006964107405748784,-0.0010056845419468816,0.0016878587562885186
treatment_1/replicate_C/6Oclock/normalized.csv,60.0,55.645736350281744,0.002042323154004266,0.0019893244120646144,1.6710832304182756e-16,0.0006402302077436175,0.0026082536866616876,0.0016965211982064624,5.310323130803894e-16,0.0011135125985465494,-4.354263649718256,-5.299874193965149e-05,0.0006402302077434505,-0.0009117324884552252,0.0011135125985460184
treatment_1/replicate_E/12Oclock/normalized.csv,60.0,55.68328307399266,0.0018063016547351883,0.0017806806619010945,1.8015846143710603e-16,0.0006475769174635479,0.0025694027253681225,0.0017000016327809097,3.657913914661668e-16,0.0011087095767699183,-4.316716926007338,-2.562099283409387e-05,0.0006475769174633677,-0.0008694010925872128,0.0011087095767695525
treatment_1/replicate_E/6Oclock/normalized.csv,60.0,56.92139853364776,0.0019282025533272477,0.0019021335029620141,1.8617729081816481e-16,0.0006180745282336431,0.0024768073692426,0.0016386269648227376,5.101805810898367e-16,0.0009614175065890938,-3.0786014663522394,-2.606905036523356e-05,0.0006180745282334569,-0.0008381804044198626,0.0009614175065885836
treatment_1/replicate_H/12Oclock/normalized.csv,60.0,52.324816493317094,0.0019589677496614755,0.0018877652067098918,1.5073164603209893e-16,0.0006798398668077072,0.0028418816029809986,0.0018670318584381176,4.884296651104597e-16,0.0016320788146893465,-7.675183506682906,-7.120254295158368e-05,0.0006798398668075565,-0.000974849744542881,0.0016320788146888582
treatment_1/replicate_H/6Oclock/normalized.csv,60.0,50.23849097892685,0.0019486871783175636,0.0018763722340669794,1.4387626109323772e-16,0.0006969635956803451,0.002928049665068009,0.0019443195433280532,5.633890896407643e-16,0.0020751877872008193,-9.761509021073152,-7.231494425058416e-05,0.0006969635956802012,-0.000983730121739956,0.002075187787200256
treatment_2/replicate_A/12Oclock/normalized.csv,60.0,52.00132077731758,0.0015139557036026924,0.0014775903742273555,1.506185542147172e-16,0.00068374058527674,0.002752698290472695,0.0018123342763954019,5.082512408464578e-16,0.0016940097794010853,-7.998679222682419,-3.636532937533691e-05,0.0006837405852765894,-0.0009403640140772931,0.001694009779400577
treatment_2/replicate_A/6Oclock/normalized.csv,60.0,51.91421827555189,0.0016704739500804113,0.0016308681002926006,1.4884332947639075e-16,0.0006587236447829197,0.00271386082489586,0.001789676163674128,5.088675592877503e-16,0.0017110828492554984,-8.085781724448111,-3.9605849787810714e-05,0.0006587236447827709,-0.0009241846612217321,0.0017110828492549895
treatment_2/replicate_C/12Oclock/normalized.csv,60.0,53.02722470490782,0.0022108426024244855,0.002076113510296297,1.3327916319132178e-16,0.000693791368157282,0.002833767469368533,0.0018570977927614034,4.554318486580217e-16,0.0015052918732730348,-6.972775295092177,-0.00013472909212818842,0.0006937913681571488,-0.0009766696766071294,0.0015052918732725794
treatment_2/replicate_C/6Oclock/normalized.csv,60.0,49.66145107147811,0.0017305102950392688,0.00164809975465792,1.2247554826084183e-16,0.0006749369754034181,0.002879340272127363,0.0019238858670785593,6.120352748449169e-16,0.00221773371076279,-10.338548928521888,-8.241054038134882e-05,0.0006749369754032956,-0.0009554544050488036,0.0022177337107621782
treatment_2/replicate_D/12Oclock/normalized.csv,60.0,51.858943061873994,0.0019976404607689765,0.0019428797283695932,1.486221852122968e-16,0.000655682491410812,0.0027132039696231664,0.0017818883390417189,5.045816588785224e-16,0.0017220065495748833,-8.141056938126006,-5.476073239938338e-05,0.0006556824914106633,-0.0009313156305814476,0.0017220065495743787
