sample,baseline_robust_snr_db,candidate_robust_snr_db,baseline_high_freq_energy,candidate_high_freq_energy,baseline_residual_rms,candidate_residual_rms,baseline_curvature_penalty,candidate_curvature_penalty,delta_robust_snr_db,delta_high_freq_energy,delta_residual_rms,delta_curvature_penalty
treatment_1/replicate_A/12Oclock/normalized.csv,167.11009277566245,167.11009277566245,0.0014838323241151289,0.0014838323241151289,1.493045429399894e-16,1.493045429399894e-16,0.0028562496841767785,0.0028562496841767785,0.0,0.0,0.0,0.0
treatment_1/replicate_A/6Oclock/normalized.csv,163.51654861985696,163.51654861985696,0.0020247049965216564,0.0020247049965216564,1.1064643409744425e-16,1.1064643409744425e-16,0.0031875578117642463,0.0031875578117642463,0.0,0.0,0.0,0.0
treatment_1/replicate_B/12Oclock/normalized.csv,168.70581428789546,168.70581428789546,0.001655651531478629,0.001655651531478629,1.6147126715126422e-16,1.6147126715126422e-16,0.0027984113142195733,0.0027984113142195733,0.0,0.0,0.0,0.0
treatment_1/replicate_B/6Oclock/normalized.csv,168.7364543701017,168.7364543701017,0.0017453993849516007,0.0017453993849516007,1.6424763428785664e-16,1.6424763428785664e-16,0.002709306381507921,0.002709306381507921,0.0,0.0,0.0,0.0
treatment_1/replicate_C/12Oclock/normalized.csv,167.12979932328847,167.12979932328847,0.002142896156844331,0.002142896156844331,1.3360508678183497e-16,1.3360508678183497e-16,0.0029632892188427864,0.0029632892188427864,0.0,0.0,0.0,0.0
treatment_1/replicate_C/6Oclock/normalized.csv,169.92760863482118,169.92760863482118,0.002042323154004264,0.002042323154004264,1.6710832304182756e-16,1.6710832304182756e-16,0.0026082536866616876,0.0026082536866616876,0.0,0.0,0.0,0.0
treatment_1/replicate_E/12Oclock/normalized.csv,169.64353352636496,169.64353352636496,0.0018063016547351898,0.0018063016547351898,1.8015846143710603e-16,1.8015846143710603e-16,0.0025694027253681225,0.0025694027253681225,0.0,0.0,0.0,0.0
treatment_1/replicate_E/6Oclock/normalized.csv,170.27554912380754,170.27554912380754,0.00192820255332725,0.00192820255332725,1.8617729081816481e-16,1.8617729081816481e-16,0.0024768073692426,0.0024768073692426,0.0,0.0,0.0,0.0
treatment_1/replicate_H/12Oclock/normalized.csv,167.13216246333715,167.13216246333715,0.001958967749661475,0.001958967749661475,1.5073164603209893e-16,1.5073164603209893e-16,0.0028418816029809986,0.0028418816029809986,0.0,0.0,0.0,0.0
treatment_1/replicate_H/6Oclock/normalized.csv,165.89203447511994,165.89203447511994,0.001948687178317564,0.001948687178317564,1.4387626109323772e-16,1.4387626109323772e-16,0.002928049665068009,0.002928049665068009,0.0,0.0,0.0,0.0
treatment_2/replicate_A/12Oclock/normalized.csv,166.78663417473393,166.78663417473393,0.001513955703602692,0.001513955703602692,1.506185542147172e-16,1.506185542147172e-16,0.002752698290472695,0.002752698290472695,0.0,0.0,0.0,0.0
treatment_2/replicate_A/6Oclock/normalized.csv,166.7761078239439,166.7761078239439,0.001670473950080412,0.001670473950080412,1.4884332947639075e-16,1.4884332947639075e-16,0.00271386082489586,0.00271386082489586,0.0,0.0,0.0,0.0
treatment_2/replicate_C/12Oclock/normalized.csv,167.7397351738824,167.7397351738824,0.0022108426024244846,0.0022108426024244846,1.3327916319132178e-16,1.3327916319132178e-16,0.002833767469368533,0.002833767469368533,0.0,0.0,0.0,0.0
treatment_2/replicate_C/6Oclock/normalized.csv,165.17267404729452,165.17267404729452,0.0017305102950392725,0.0017305102950392725,1.2247554826084183e-16,1.2247554826084183e-16,0.002879340272127363,0.002879340272127363,0.0,0.0,0.0,0.0
treatment_2/replicate_D/12Oclock/normalized.csv,166.84957392246943,166.84957392246943,0.0019976404607689765,0.0019976404607689765,1.486221852122968e-16,1.486221852122968e-16,0.0027132039696231664,0.0027132039696231664,0.0,0.0,0.0,0.0
treatment_2/replicate_D/6Oclock/normalized.csv,166.88119654475082,166.88119654475082,0.0023265743246684684,0.0023265743246684684,1.3632036734812968e-16,1.3632036734812968e-16,0.0028054039882357664,0.0028054039882357664,0.0,0.0,0.0,0.0
treatment_2/replicate_F/12Oclock/normalized.csv,168.14473646752447,168.14473646752447,0.0022834584490061625,0.0022834584490061625,1.4579629668458867e-16,1.4579629668458867e-16,0.0027267319605254596,0.0027267319605254596,0.0,0.0,0.0,0.0
treatment_2/replicate_F/6Oclock/normalized.csv,169.29981732132606,169.29981732132606,0.0020480993424409123,0.0020480993424409123,1.6414868337842216e-16,1.6414868337842216e-16,0.0025250303384827407,0.0025250303384827407,0.0,0.0,0.0,0.0
treatment_2/replicate_H/12Oclock/normalized.csv,172.2646337353175,172.2646337353175,0.001918421633422495,0.001918421633422495,2.1402203187029908e-16,2.1402203187029908e-16,0.002030554043565538,0.002030554043565538,0.0,0.0,0.0,0.0
treatment_2/replicate_H/6Oclock/normalized.csv,167.2057226131234,167.2057226131234,0.0020230543018122243,0.0020230543018122243,1.5139926219523196e-16,1.5139926219523196e-16,0.0027467804703657436,0.0027467804703657436,0.0,0.0,0.0,0.0
treatment_3/replicate_B/12Oclock/normalized.csv,163.62233471046034,163.62233471046034,0.0015356324281403768,0.0015356324281403768,1.2944721403287462e-16,1.2944721403287462e-16,0.0029667813037802288,0.0029667813037802288,0.0,0.0,0.0,0.0
treatment_3/replicate_B/6Oclock/normalized.csv,163.095714563769,163.095714563769,0.0018336879192480953,0.0018336879192480953,1.104425475731726e-16,1.104425475731726e-16,0.003006355032824524,0.003006355032824524,0.0,0.0,0.0,0.0
