sample,baseline_robust_snr_db,candidate_robust_snr_db,baseline_high_freq_energy,candidate_high_freq_energy,baseline_residual_rms,candidate_residual_rms,baseline_curvature_penalty,candidate_curvature_penalty,baseline_change_fraction,candidate_change_fraction,delta_robust_snr_db,delta_high_freq_energy,delta_residual_rms,delta_curvature_penalty,delta_change_fraction
treatment_1/replicate_A/12Oclock/normalized.csv,60.0,49.728024458808804,0.0014838323241151282,0.0014176681251237282,1.493045429399894e-16,0.0008820606059182407,0.0028562496841767785,0.0015198698144308534,4.896722777606387e-16,0.002200800769100913,-10.271975541191196,-6.616419899140003e-05,0.0008820606059180914,-0.0013363798697459252,0.0022008007691004233
treatment_1/replicate_A/6Oclock/normalized.csv,60.0,44.99889505669208,0.002024704996521655,0.0018074135826123005,1.1064643409744425e-16,0.0009483795644412579,0.0031875578117642463,0.0017362873556136843,7.405983232217081e-16,0.003793474755266999,-15.001104943307922,-0.0002172914139093546,0.0009483795644411472,-0.001451270456150562,0.003793474755266258
treatment_1/replicate_B/12Oclock/normalized.csv,60.0,51.464548301717166,0.0016556515314786323,0.0015751834105625728,1.6147126715126422e-16,0.0008741358748130204,0.0027984113142195733,0.0014897793822508196,4.0749233343841194e-16,0.0018019989655279614,-8.535451698282834,-8.046812091605949e-05,0.0008741358748128589,-0.0013086319319687537,0.001801998965527554
treatment_1/replicate_B/6Oclock/normalized.csv,60.0,51.72778275440364,0.0017453993849516005,0.001681758900284102,1.6424763428785664e-16,0.0008416481678901833,0.002709306381507921,0.0014359075782921994,4.0605740817110124e-16,0.0017482068383247746,-8.272217245596359,-6.364048466749842e-05,0.000841648167890019,-0.0012733988032157216,0.0017482068383243685
treatment_1/replicate_C/12Oclock/normalized.csv,60.0,49.44116733446236,0.002142896156844325,0.0020092162185015514,1.3360508678183497e-16,0.0008952091123040329,0.0029632892188427864,0.001607107015705468,4.885625685634423e-16,0.002274697159910739,-10.558832665537643,-0.00013367993834277354,0.0008952091123038994,-0.0013561822031373184,0.0022746971599102504
treatment_1/replicate_C/6Oclock/normalized.csv,60.0,53.27646481924836,0.002042323154004266,0.0019778691021047467,1.6710832304182756e-16,0.0008109731465835935,0.0026082536866616876,0.001397245083031491,5.310323130803894e-16,0.0014627116205204486,-6.7235351807516395,-6.445405189951922e-05,0.0008109731465834264,-0.0012110086036301966,0.0014627116205199176
treatment_1/replicate_E/12Oclock/normalized.csv,60.0,53.36020113049854,0.0018063016547351883,0.001777160941842339,1.8015846143710603e-16,0.0008115502861044004,0.0025694027253681225,0.0013964422949783498,3.657913914661668e-16,0.0014486781040429727,-6.639798869501462,-2.9140712892849335e-05,0.0008115502861042203,-0.0011729604303897727,0.001448678104042607
treatment_1/replicate_E/6Oclock/normalized.csv,60.0,54.33082489874471,0.0019282025533272477,0.0018966514324930816,1.8617729081816481e-16,0.0007778998354174918,0.0024768073692426,0.0013495302977109152,5.101805810898367e-16,0.001295509815351847,-5.669175101255291,-3.155112083416613e-05,0.0007778998354173056,-0.001127277071531685,0.0012955098153513368
treatment_1/replicate_H/12Oclock/normalized.csv,60.0,49.96883526082208,0.0019589677496614755,0.0018738738451772026,1.5073164603209893e-16,0.0008711422991761703,0.0028418816029809986,0.0015303623183965376,4.884296651104597e-16,0.002140623008123176,-10.031164739177918,-8.509390448427291e-05,0.0008711422991760196,-0.001311519284584461,0.0021406230081226878
treatment_1/replicate_H/6Oclock/normalized.csv,60.0,47.985988163518186,0.0019486871783175636,0.0018630589677126235,1.4387626109323772e-16,0.0008937798109634314,0.002928049665068009,0.0015995404931059165,5.633890896407643e-16,0.0026895680907903616,-12.014011836481814,-8.562821060494009e-05,0.0008937798109632876,-0.0013285091719620926,0.0026895680907897982
treatment_2/replicate_A/12Oclock/normalized.csv,60.0,49.61514087578471,0.0015139557036026924,0.0014718227222086126,1.506185542147172e-16,0.0008614720708674128,0.002752698290472695,0.0014877349622483944,5.082512408464578e-16,0.002229589488609508,-10.38485912421529,-4.213298139407978e-05,0.0008614720708672622,-0.0012649633282243006,0.0022295894886089998
treatment_2/replicate_A/6Oclock/normalized.csv,60.0,49.58987592978311,0.0016704739500804113,0.0016227221849989407,1.4884332947639075e-16,0.0008396381048285312,0.00271386082489586,0.0014603107254420916,5.088675592877503e-16,0.0022360842133803184,-10.410124070216888,-4.775176508147057e-05,0.0008396381048283824,-0.0012535500994537685,0.0022360842133798096
treatment_2/replicate_C/12Oclock/normalized.csv,60.0,50.64961740562441,0.0022108426024244855,0.0020501389107435803,1.3327916319132178e-16,0.0008810120926010053,0.002833767469368533,0.0015130456483857864,4.554318486580217e-16,0.001979251952084002,-9.350382594375588,-0.00016070369168090515,0.0008810120926008721,-0.0013207218209827464,0.0019792519520835466
treatment_2/replicate_C/6Oclock/normalized.csv,60.0,47.43654867845815,0.0017305102950392688,0.0016310238475731804,1.2247554826084183e-16,0.0008677520575716525,0.002879340272127363,0.0015802577076212802,6.120352748449169e-16,0.002865197197468227,-12.563451321541848,-9.948644746608846e-05,0.00086775205757153,-0.0012990825645060827,0.002865197197467615
treatment_2/replicate_D/12Oclock/normalized.csv,60.0,49.82657575045419,0.0019976404607689765,0.0019349064335232858,1.486221852122968e-16,0.0008344157018725197,0.0027132039696231664,0.0014613731468390786,5.045816588785224e-16,0.0021759713079156197,-10.17342424954581,-6.273402724569078e-05,0.000834415701872371,-0.0012518308227840878,0.0021759713079151153
